Codice identificativo,Punteggio I prova scritta,Punteggio II prova scritta,Media
2,7.2,8.2,7.7
3,7.36,9.0,8.18
4,7.83,7.2,7.51
6,7.28,8.3,7.79
9,8.61,6.1,7.35
14,7.28,7.8,7.54
18,7.12,9.0,8.06
20,7.52,8.1,7.81
26,7.52,5.8,6.66
33,7.2,9.2,8.2
35,6.97,8.5,7.73
36,7.59,7.6,7.6
38,7.83,8.1,7.96
44,8.06,9.1,8.58
45,7.83,5.0,6.41
46,6.58,5.0,5.79
56,7.67,5.0,6.34
60,8.92,9.6,9.26
63,7.05,9.8,8.42
64,7.05,6.0,6.52
66,7.59,5.0,6.3
72,6.66,6.1,6.38
77,6.66,5.4,6.03
79,7.05,8.3,7.67
81,8.14,5.6,6.87
82,7.05,8.3,7.67
84,7.36,6.0,6.68
94,8.3,9.2,8.75
95,6.58,7.2,6.89
101,6.5,7.6,7.05
102,7.36,5.8,6.58
105,7.36,5.0,6.18
109,8.14,6.9,7.52
113,6.66,6.3,6.48
116,8.14,5.6,6.87
119,6.81,5.5,6.16
120,6.66,7.5,7.08
121,6.89,8.3,7.6
122,8.06,7.5,7.78
123,6.89,7.7,7.3
125,8.37,7.5,7.94
128,7.05,8.8,7.92
134,7.05,5.1,6.07
138,6.89,6.5,6.7
140,8.76,7.9,8.33
143,7.05,10.0,8.52
152,8.14,5.0,6.57
156,7.44,9.6,8.52
166,7.91,6.7,7.3
168,7.98,8.7,8.34
169,9.0,8.7,8.85
172,6.5,5.0,5.75
174,6.97,5.0,5.98
179,7.52,6.9,7.21
180,8.92,8.9,8.91
183,7.2,6.0,6.6
184,7.91,9.8,8.85
188,6.73,8.2,7.47
189,7.05,7.3,7.17
198,6.81,9.3,8.06
200,8.22,9.4,8.81
205,7.59,7.2,7.4
209,7.05,7.5,7.27
210,6.58,7.2,6.89
222,6.97,9.5,8.23
225,6.5,6.6,6.55
234,7.05,9.4,8.22
